period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,is_betting,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,status
89,"羊, 鸡, 龙, 鼠","1, 4, 8, 11, 13, 16, 20, 23, 25, 28, 32, 35, 37, 40, 44, 47, 49",17,47,是,是,1,0,2.0,34.0,60.0,241.0,241.0,✅
90,"鸡, 蛇, 龙, 鼠","1, 4, 8, 9, 13, 16, 20, 21, 25, 28, 32, 33, 37, 40, 44, 45, 49",17,18,否,是,0,1,1.0,17.0,-17.0,224.0,224.0,❌
91,"鸡, 兔, 龙, 牛","1, 5, 7, 8, 13, 17, 19, 20, 25, 29, 31, 32, 37, 41, 43, 44, 49",17,5,是,是,1,0,2.0,34.0,60.0,284.0,284.0,✅
92,"猴, 鸡, 兔, 龙","1, 7, 8, 12, 13, 19, 20, 24, 25, 31, 32, 36, 37, 43, 44, 48, 49",17,22,否,是,0,1,1.0,17.0,-17.0,267.0,267.0,❌
93,"鸡, 猴, 猪, 龙","1, 3, 8, 12, 13, 15, 20, 24, 25, 27, 32, 36, 37, 39, 44, 48, 49",17,44,是,是,1,0,2.0,34.0,60.0,327.0,327.0,✅
94,"鸡, 猴, 猪, 鼠","1, 3, 4, 12, 13, 15, 16, 24, 25, 27, 28, 36, 37, 39, 40, 48, 49",17,23,否,是,0,1,1.0,17.0,-17.0,310.0,310.0,❌
95,"鼠, 鸡, 猴, 猪","1, 3, 4, 12, 13, 15, 16, 24, 25, 27, 28, 36, 37, 39, 40, 48, 49",17,49,是,是,1,0,2.0,34.0,60.0,370.0,370.0,✅
96,"鼠, 猴, 猪, 兔","3, 4, 7, 12, 15, 16, 19, 24, 27, 28, 31, 36, 39, 40, 43, 48",16,40,是,是,2,0,1.0,16.0,31.0,401.0,401.0,✅
97,"兔, 猴, 猪, 马","3, 7, 10, 12, 15, 19, 22, 24, 27, 31, 34, 36, 39, 43, 46, 48",16,5,否,是,0,1,1.0,16.0,-16.0,385.0,385.0,❌
98,"兔, 猴, 猪, 鸡","1, 3, 7, 12, 13, 15, 19, 24, 25, 27, 31, 36, 37, 39, 43, 48, 49",17,22,否,是,0,2,2.0,34.0,-34.0,351.0,351.0,❌
99,"兔, 猴, 猪, 狗","2, 3, 7, 12, 14, 15, 19, 24, 26, 27, 31, 36, 38, 39, 43, 48",16,15,是,是,1,0,4.0,64.0,124.0,475.0,475.0,✅
100,"兔, 猴, 蛇, 狗","2, 7, 9, 12, 14, 19, 21, 24, 26, 31, 33, 36, 38, 43, 45, 48",16,48,是,是,2,0,1.0,16.0,31.0,506.0,506.0,✅
101,"兔, 蛇, 狗, 虎","2, 6, 7, 9, 14, 18, 19, 21, 26, 30, 31, 33, 38, 42, 43, 45",16,42,是,是,3,0,1.0,16.0,31.0,537.0,537.0,✅
102,"蛇, 兔, 狗, 鸡","1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49",17,17,否,是,0,1,1.0,17.0,-17.0,520.0,520.0,❌
103,"兔, 蛇, 狗, 龙","2, 7, 8, 9, 14, 19, 20, 21, 26, 31, 32, 33, 38, 43, 44, 45",16,20,是,是,1,0,2.0,32.0,62.0,582.0,582.0,✅
104,"兔, 蛇, 狗, 鸡","1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49",17,39,否,是,0,1,1.0,17.0,-17.0,565.0,565.0,❌
105,"兔, 蛇, 鼠, 狗","2, 4, 7, 9, 14, 16, 19, 21, 26, 28, 31, 33, 38, 40, 43, 45",16,6,否,是,0,2,2.0,32.0,-32.0,533.0,533.0,❌
106,"兔, 蛇, 鸡, 鼠","1, 4, 7, 9, 13, 16, 19, 21, 25, 28, 31, 33, 37, 40, 43, 45, 49",17,16,是,是,1,0,4.0,68.0,120.0,653.0,653.0,✅
107,"兔, 蛇, 鸡, 狗","1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49",17,37,是,是,2,0,1.0,17.0,30.0,683.0,683.0,✅
108,"兔, 蛇, 羊, 狗","2, 7, 9, 11, 14, 19, 21, 23, 26, 31, 33, 35, 38, 43, 45, 47",16,14,是,是,3,0,1.0,16.0,31.0,714.0,714.0,✅
109,"兔, 蛇, 羊, 鼠","4, 7, 9, 11, 16, 19, 21, 23, 28, 31, 33, 35, 40, 43, 45, 47",16,38,否,是,0,1,1.0,16.0,-16.0,698.0,698.0,❌
110,"兔, 蛇, 羊, 鼠","4, 7, 9, 11, 16, 19, 21, 23, 28, 31, 33, 35, 40, 43, 45, 47",16,23,是,是,1,0,2.0,32.0,62.0,760.0,760.0,✅
111,"兔, 蛇, 猴, 鼠","4, 7, 9, 12, 16, 19, 21, 24, 28, 31, 33, 36, 40, 43, 45, 48",16,4,是,是,2,0,1.0,16.0,31.0,791.0,791.0,✅
112,"兔, 猴, 蛇, 马","7, 9, 10, 12, 19, 21, 22, 24, 31, 33, 34, 36, 43, 45, 46, 48",16,24,是,是,3,0,1.0,16.0,31.0,822.0,822.0,✅
113,"兔, 蛇, 牛, 马","5, 7, 9, 10, 17, 19, 21, 22, 29, 31, 33, 34, 41, 43, 45, 46",16,18,否,是,0,1,1.0,16.0,-16.0,806.0,806.0,❌
114,"兔, 蛇, 马, 龙","7, 8, 9, 10, 19, 20, 21, 22, 31, 32, 33, 34, 43, 44, 45, 46",16,6,否,是,0,2,2.0,32.0,-32.0,774.0,774.0,❌
115,"兔, 蛇, 马, 猪","3, 7, 9, 10, 15, 19, 21, 22, 27, 31, 33, 34, 39, 43, 45, 46",16,45,是,是,1,0,4.0,64.0,124.0,898.0,898.0,✅
116,"兔, 马, 猪, 龙","3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46",16,28,否,是,0,1,1.0,16.0,-16.0,882.0,882.0,❌
117,"兔, 马, 猪, 龙","3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46",16,23,否,是,0,2,2.0,32.0,-32.0,850.0,850.0,❌
118,"兔, 龙, 马, 鸡","1, 7, 8, 10, 13, 19, 20, 22, 25, 31, 32, 34, 37, 43, 44, 46, 49",17,47,否,是,0,3,4.0,68.0,-68.0,782.0,782.0,❌
119,"马, 兔, 龙, 鸡","1, 7, 8, 10, 13, 19, 20, 22, 25, 31, 32, 34, 37, 43, 44, 46, 49",17,9,否,是,0,4,6.0,102.0,-102.0,680.0,680.0,❌ [触发止损，暂停投注]
120,"马, 兔, 狗, 鸡","1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49",17,15,否,否,0,4,0.0,0.0,0.0,680.0,680.0,⏸️ [暂停投注第1期]
121,"马, 兔, 狗, 鸡","1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49",17,4,否,否,0,4,0.0,0.0,0.0,680.0,680.0,⏸️ [暂停投注第2期]
122,"马, 兔, 狗, 鸡","1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49",17,19,是,是,0,0,0.0,0.0,0.0,680.0,680.0,⏸️ [暂停中-本期会中，恢复投注]
123,"牛, 马, 狗, 鸡","1, 2, 5, 10, 13, 14, 17, 22, 25, 26, 29, 34, 37, 38, 41, 46, 49",17,37,是,是,1,0,1.0,17.0,30.0,710.0,710.0,✅
124,"牛, 龙, 马, 狗","2, 5, 8, 10, 14, 17, 20, 22, 26, 29, 32, 34, 38, 41, 44, 46",16,3,否,是,0,1,1.0,16.0,-16.0,694.0,694.0,❌
125,"牛, 龙, 马, 狗","2, 5, 8, 10, 14, 17, 20, 22, 26, 29, 32, 34, 38, 41, 44, 46",16,17,是,是,1,0,2.0,32.0,62.0,756.0,756.0,✅
126,"龙, 马, 狗, 猴","2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48",16,36,是,是,2,0,1.0,16.0,31.0,787.0,787.0,✅
127,"龙, 马, 狗, 兔","2, 7, 8, 10, 14, 19, 20, 22, 26, 31, 32, 34, 38, 43, 44, 46",16,26,是,是,3,0,1.0,16.0,31.0,818.0,818.0,✅
128,"龙, 马, 兔, 牛","5, 7, 8, 10, 17, 19, 20, 22, 29, 31, 32, 34, 41, 43, 44, 46",16,26,否,是,0,1,1.0,16.0,-16.0,802.0,802.0,❌
129,"龙, 马, 羊, 兔","7, 8, 10, 11, 19, 20, 22, 23, 31, 32, 34, 35, 43, 44, 46, 47",16,6,否,是,0,2,2.0,32.0,-32.0,770.0,770.0,❌
