period,global_period,date,top4_zodiacs,bet_numbers,bet_count,actual,actual_animal,is_hit,is_hit_number,is_hit_animal,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,model_used
72,337,2026/1/5,"['兔', '猪', '鼠', '狗']","[1, 4, 11, 12, 13, 16, 23, 24, 25, 28, 35, 36, 37, 40, 47, 48, 49]",17,43,猪,False,False,True,0,3,4.0,68.0,-68.0,436.5,436.5,集成投票模型(v10 + 优化版)
73,338,2026/1/6,"['鼠', '兔', '狗', '猴']","[1, 4, 9, 11, 13, 16, 21, 23, 25, 28, 33, 35, 37, 40, 45, 47, 49]",17,13,蛇,True,True,False,1,0,6.0,102.0,180.0,616.5,616.5,集成投票模型(v10 + 优化版)
74,339,2026/1/7,"['鼠', '兔', '狗', '猴']","[1, 4, 9, 11, 13, 16, 21, 23, 25, 28, 33, 35, 37, 40, 45, 47, 49]",17,41,牛,False,False,False,0,1,0.5,8.5,-8.5,608.0,608.0,集成投票模型(v10 + 优化版)
75,340,2026/1/8,"['鼠', '狗', '兔', '虎']","[1, 3, 4, 11, 13, 15, 16, 23, 25, 27, 28, 35, 37, 39, 40, 47, 49]",17,21,鸡,False,False,False,0,2,2.0,34.0,-34.0,574.0,574.0,集成投票模型(v10 + 优化版)
76,341,2026/1/9,"['鼠', '狗', '兔', '虎']","[1, 3, 4, 11, 13, 15, 16, 23, 25, 27, 28, 35, 37, 39, 40, 47, 49]",17,28,虎,True,True,True,1,0,4.0,68.0,120.0,694.0,694.0,集成投票模型(v10 + 优化版)
77,342,2026/1/10,"['鼠', '兔', '狗', '羊']","[1, 4, 8, 11, 13, 16, 20, 23, 25, 28, 32, 35, 37, 40, 44, 47, 49]",17,27,兔,False,False,True,0,1,0.5,8.5,-8.5,685.5,685.5,集成投票模型(v10 + 优化版)
78,343,2026/1/11,"['鼠', '狗', '猴', '羊']","[1, 8, 9, 11, 13, 20, 21, 23, 25, 32, 33, 35, 37, 44, 45, 47, 49]",17,11,羊,True,True,True,1,0,2.0,34.0,60.0,745.5,745.5,集成投票模型(v10 + 优化版)
79,344,2026/1/12,"['鼠', '狗', '猴', '猪']","[1, 9, 11, 12, 13, 21, 23, 24, 25, 33, 35, 36, 37, 45, 47, 48, 49]",17,11,羊,True,True,False,2,0,0.5,8.5,15.0,760.5,760.5,集成投票模型(v10 + 优化版)
80,345,2026/1/13,"['鼠', '狗', '兔', '龙']","[1, 4, 5, 11, 13, 16, 17, 23, 25, 28, 29, 35, 37, 40, 41, 47, 49]",17,1,蛇,True,True,False,3,0,0.5,8.5,15.0,775.5,775.5,集成投票模型(v10 + 优化版)
81,346,2026/1/14,"['鼠', '狗', '兔', '龙']","[1, 4, 5, 11, 13, 16, 17, 23, 25, 28, 29, 35, 37, 40, 41, 47, 49]",17,26,龙,False,False,True,0,1,0.5,8.5,-8.5,767.0,767.0,集成投票模型(v10 + 优化版)
