total_bet,total_win,balance,roi,max_drawdown,boost_periods,reduce_periods,hit_count,hit_rate,lookback,good_threshold,bad_threshold,boost_multiplier,reduce_multiplier,reward_risk_ratio
7477.5,10025.100000000004,2547.5999999999995,34.070210631895684,506.69999999999993,51,26,69,34.5,8,0.45,0.2,1.3,0.7,0.06710697386625111
7477.5,10025.100000000004,2547.5999999999995,34.070210631895684,506.69999999999993,51,26,69,34.5,8,0.4,0.2,1.3,0.7,0.06710697386625111
7960.5,10668.999999999998,2708.5,34.02424470824697,625.6,48,47,69,34.5,10,0.45,0.2,1.5,0.8,0.05429978408593515
7960.5,10668.999999999998,2708.5,34.02424470824697,625.6,48,47,69,34.5,10,0.45,0.25,1.5,0.8,0.05429978408593515
7659.0,10264.800000000001,2605.7999999999997,34.02271837054445,638.6,42,61,69,34.5,12,0.45,0.3,1.3,0.8,0.05319374354369051
7659.0,10264.800000000001,2605.7999999999997,34.02271837054445,638.6,42,61,69,34.5,12,0.45,0.25,1.3,0.8,0.05319374354369051
7792.5,10443.399999999996,2650.9000000000005,34.018607635547006,609.4000000000001,81,25,69,34.5,15,0.4,0.2,1.2,0.7,0.055731663885234276
7792.5,10443.399999999996,2650.9000000000005,34.018607635547006,609.4000000000001,81,25,69,34.5,15,0.4,0.25,1.2,0.7,0.055731663885234276
7792.5,10443.399999999996,2650.9000000000005,34.018607635547006,609.4000000000001,81,25,69,34.5,15,0.35,0.2,1.2,0.7,0.055731663885234276
7792.5,10443.399999999996,2650.9000000000005,34.018607635547006,609.4000000000001,81,25,69,34.5,15,0.35,0.25,1.2,0.7,0.055731663885234276
7239.0,9700.800000000003,2461.7999999999997,34.00745959386655,516.3,41,62,69,34.5,15,0.45,0.3,1.3,0.7,0.06574030464694867
7654.5,10250.7,2596.2,33.91730354693318,505.9,51,26,69,34.5,8,0.4,0.2,1.5,0.7,0.06691123209101041
7654.5,10250.7,2596.2,33.91730354693318,505.9,51,26,69,34.5,8,0.45,0.2,1.5,0.7,0.06691123209101041
7644.0,10236.600000000002,2592.6,33.91679748822606,610.8,41,25,69,34.5,15,0.45,0.2,1.3,0.7,0.05543772064110177
7644.0,10236.600000000002,2592.6,33.91679748822606,610.8,41,25,69,34.5,15,0.45,0.25,1.3,0.7,0.05543772064110177
7572.0,10137.900000000005,2565.8999999999996,33.88668779714738,518.3999999999999,81,62,69,34.5,15,0.35,0.3,1.3,0.7,0.06524198651741893
7572.0,10137.900000000005,2565.8999999999996,33.88668779714738,518.3999999999999,81,62,69,34.5,15,0.4,0.3,1.3,0.7,0.06524198651741893
7594.5,10166.100000000004,2571.6,33.86134702745407,618.9,42,26,69,34.5,12,0.45,0.2,1.3,0.7,0.05462388615495092
8040.0,10758.300000000003,2718.2999999999993,33.8097014925373,549.8,112,81,69,34.5,8,0.35,0.3,1.3,0.8,0.061382900313248556
8040.0,10758.300000000003,2718.2999999999993,33.8097014925373,549.8,112,81,69,34.5,8,0.35,0.25,1.3,0.8,0.061382900313248556
7977.0,10673.700000000004,2696.7,33.80594208349003,612.8999999999999,81,25,69,34.5,15,0.35,0.2,1.3,0.7,0.055067506244486135
7977.0,10673.700000000004,2696.7,33.80594208349003,612.8999999999999,81,25,69,34.5,15,0.4,0.2,1.3,0.7,0.055067506244486135
7977.0,10673.700000000004,2696.7,33.80594208349003,612.8999999999999,81,25,69,34.5,15,0.4,0.25,1.3,0.7,0.055067506244486135
7977.0,10673.700000000004,2696.7,33.80594208349003,612.8999999999999,81,25,69,34.5,15,0.35,0.25,1.3,0.7,0.055067506244486135
8070.0,10791.199999999999,2721.2000000000003,33.71995043370508,695.6,42,26,69,34.5,12,0.45,0.2,1.5,0.8,0.04840647492636388
7288.5,9743.099999999997,2454.6000000000004,33.677711463264046,522.5,48,47,69,34.5,10,0.45,0.25,1.2,0.7,0.06433182705494565
7288.5,9743.099999999997,2454.6000000000004,33.677711463264046,522.5,48,47,69,34.5,10,0.45,0.2,1.2,0.7,0.06433182705494565
7704.0,10297.699999999992,2593.700000000001,33.66692627206647,486.70000000000005,112,26,69,34.5,8,0.35,0.2,1.2,0.7,0.06903204074649676
7203.0,9625.599999999999,2422.6,33.63320838539497,551.2,42,26,69,34.5,12,0.45,0.2,1.2,0.6,0.060907657344069124
7386.0,9870.0,2484.0,33.63119415109667,521.9,41,62,69,34.5,15,0.45,0.3,1.5,0.7,0.06431668416732965
6997.5,9348.299999999996,2350.8000000000006,33.59485530546625,487.6,51,81,69,34.5,8,0.4,0.25,1.2,0.7,0.06875737884868245
6997.5,9348.299999999996,2350.8000000000006,33.59485530546625,487.6,51,81,69,34.5,8,0.4,0.3,1.2,0.7,0.06875737884868245
6997.5,9348.299999999996,2350.8000000000006,33.59485530546625,487.6,51,81,69,34.5,8,0.45,0.25,1.2,0.7,0.06875737884868245
6997.5,9348.299999999996,2350.8000000000006,33.59485530546625,487.6,51,81,69,34.5,8,0.45,0.3,1.2,0.7,0.06875737884868245
7146.0,9545.699999999997,2399.7000000000003,33.581024349286324,551.4,42,61,69,34.5,12,0.45,0.25,1.2,0.7,0.06079113748965664
7146.0,9545.699999999997,2399.7000000000003,33.581024349286324,551.4,42,61,69,34.5,12,0.45,0.3,1.2,0.7,0.06079113748965664
8793.0,11745.3,2952.3,33.5755714773115,541.5999999999999,112,26,69,34.5,8,0.35,0.2,1.5,0.8,0.06187904805991799
7791.0,10405.8,2614.8,33.5618020793223,616.4,41,25,69,34.5,15,0.45,0.25,1.5,0.7,0.05435989970735714
7791.0,10405.8,2614.8,33.5618020793223,616.4,41,25,69,34.5,15,0.45,0.2,1.5,0.7,0.05435989970735714
7086.0,9461.100000000004,2375.0999999999995,33.51820491109228,487.19999999999993,51,81,69,34.5,8,0.4,0.3,1.3,0.7,0.06865670813415053
7086.0,9461.100000000004,2375.0999999999995,33.51820491109228,487.19999999999993,51,81,69,34.5,8,0.45,0.25,1.3,0.7,0.06865670813415053
7086.0,9461.100000000004,2375.0999999999995,33.51820491109228,487.19999999999993,51,81,69,34.5,8,0.45,0.3,1.3,0.7,0.06865670813415053
7086.0,9461.100000000004,2375.0999999999995,33.51820491109228,487.19999999999993,51,81,69,34.5,8,0.4,0.25,1.3,0.7,0.06865670813415053
7383.0,9855.900000000005,2472.8999999999996,33.49451442503047,528.3,48,47,69,34.5,10,0.45,0.25,1.3,0.7,0.06328077541097765
7383.0,9855.900000000005,2472.8999999999996,33.49451442503047,528.3,48,47,69,34.5,10,0.45,0.2,1.3,0.7,0.06328077541097765
7941.0,10598.500000000002,2657.5,33.46555849389246,525.4,81,62,69,34.5,15,0.4,0.3,1.5,0.7,0.0635743892361179
7941.0,10598.500000000002,2657.5,33.46555849389246,525.4,81,62,69,34.5,15,0.35,0.3,1.5,0.7,0.0635743892361179
6897.0,9202.599999999997,2305.6000000000004,33.429027113237645,443.80000000000007,75,61,69,34.5,12,0.4,0.25,1.2,0.6,0.07515518685530045
6897.0,9202.599999999997,2305.6000000000004,33.429027113237645,443.80000000000007,75,61,69,34.5,12,0.35,0.25,1.2,0.6,0.07515518685530045
6897.0,9202.599999999997,2305.6000000000004,33.429027113237645,443.80000000000007,75,61,69,34.5,12,0.35,0.3,1.2,0.6,0.07515518685530045
6897.0,9202.599999999997,2305.6000000000004,33.429027113237645,443.80000000000007,75,61,69,34.5,12,0.4,0.3,1.2,0.6,0.07515518685530045
6750.0,9005.199999999997,2255.2000000000003,33.41037037037037,426.80000000000007,41,62,69,34.5,15,0.45,0.3,1.2,0.6,0.07809810745762125
8346.0,11134.3,2788.3,33.40881859573449,619.9,81,25,69,34.5,15,0.35,0.2,1.5,0.7,0.053807084225695745
8346.0,11134.3,2788.3,33.40881859573449,619.9,81,25,69,34.5,15,0.4,0.25,1.5,0.7,0.053807084225695745
8346.0,11134.3,2788.3,33.40881859573449,619.9,81,25,69,34.5,15,0.4,0.2,1.5,0.7,0.053807084225695745
8346.0,11134.3,2788.3,33.40881859573449,619.9,81,25,69,34.5,15,0.35,0.25,1.5,0.7,0.053807084225695745
7071.0,9432.900000000003,2361.899999999999,33.40263046245226,438.1,75,61,69,34.5,12,0.35,0.3,1.3,0.6,0.07607066832715158
7071.0,9432.900000000003,2361.899999999999,33.40263046245226,438.1,75,61,69,34.5,12,0.35,0.25,1.3,0.6,0.07607066832715158
7071.0,9432.900000000003,2361.899999999999,33.40263046245226,438.1,75,61,69,34.5,12,0.4,0.3,1.3,0.6,0.07607066832715158
7071.0,9432.900000000003,2361.899999999999,33.40263046245226,438.1,75,61,69,34.5,12,0.4,0.25,1.3,0.6,0.07607066832715158
7950.0,10603.200000000008,2653.1999999999985,33.37358490566036,476.0999999999999,112,26,69,34.5,8,0.35,0.2,1.3,0.7,0.06995092204078886
7263.0,9686.7,2423.7,33.37050805452292,486.4,51,81,69,34.5,8,0.4,0.3,1.5,0.7,0.06846636859770809
7263.0,9686.7,2423.7,33.37050805452292,486.4,51,81,69,34.5,8,0.4,0.25,1.5,0.7,0.06846636859770809
7263.0,9686.7,2423.7,33.37050805452292,486.4,51,81,69,34.5,8,0.45,0.25,1.5,0.7,0.06846636859770809
