total_bet,total_win,balance,roi,max_drawdown,boost_periods,hit_count,hit_rate,lookback,boost_threshold,boost_multiplier,reward_risk_ratio
8349.0,11364.600000000004,3015.599999999999,36.1192957240388,777.0,42,69,34.5,12,0.45,1.1,0.04642582997948432
8349.0,11364.600000000004,3015.599999999999,36.1192957240388,777.0,42,69,34.5,12,0.5,1.1,0.04642582997948432
8619.0,11731.199999999995,3112.200000000001,36.10859728506789,766.4,51,69,34.5,8,0.4,1.4,0.047053162998524745
8619.0,11731.199999999995,3112.200000000001,36.10859728506789,766.4,51,69,34.5,8,0.42,1.4,0.047053162998524745
8619.0,11731.199999999995,3112.200000000001,36.10859728506789,766.4,51,69,34.5,8,0.38,1.4,0.047053162998524745
8619.0,11731.199999999995,3112.200000000001,36.10859728506789,766.4,51,69,34.5,8,0.5,1.4,0.047053162998524745
8619.0,11731.199999999995,3112.200000000001,36.10859728506789,766.4,51,69,34.5,8,0.45,1.4,0.047053162998524745
8412.0,11449.199999999997,3037.2000000000007,36.1055634807418,773.6,41,69,34.5,15,0.42,1.2,0.046611881591455975
8412.0,11449.199999999997,3037.2000000000007,36.1055634807418,773.6,41,69,34.5,15,0.45,1.2,0.046611881591455975
8388.0,11416.300000000007,3028.2999999999984,36.10276585598472,765.9000000000001,69,69,34.5,6,0.38,1.1,0.04707623660970755
8388.0,11416.300000000007,3028.2999999999984,36.10276585598472,765.9000000000001,69,69,34.5,6,0.45,1.1,0.04707623660970755
8388.0,11416.300000000007,3028.2999999999984,36.10276585598472,765.9000000000001,69,69,34.5,6,0.42,1.1,0.04707623660970755
8388.0,11416.300000000007,3028.2999999999984,36.10276585598472,765.9000000000001,69,69,34.5,6,0.4,1.1,0.04707623660970755
8388.0,11416.300000000007,3028.2999999999984,36.10276585598472,765.9000000000001,69,69,34.5,6,0.5,1.1,0.04707623660970755
8388.0,11416.300000000007,3028.2999999999984,36.10276585598472,765.9000000000001,69,69,34.5,6,0.35,1.1,0.04707623660970755
8541.75,11625.449999999992,3083.7000000000016,36.10150144876637,773.25,81,69,34.5,15,0.35,1.15,0.04662770610108669
8541.75,11625.449999999992,3083.7000000000016,36.10150144876637,773.25,81,69,34.5,15,0.4,1.15,0.04662770610108669
8541.75,11625.449999999992,3083.7000000000016,36.10150144876637,773.25,81,69,34.5,15,0.38,1.15,0.04662770610108669
8454.0,11505.599999999995,3051.6000000000013,36.09652235628106,779.6,48,69,34.5,10,0.5,1.2,0.04624202197832573
8454.0,11505.599999999995,3051.6000000000013,36.09652235628106,779.6,48,69,34.5,10,0.45,1.2,0.04624202197832573
8454.0,11505.599999999995,3051.6000000000013,36.09652235628106,779.6,48,69,34.5,10,0.42,1.2,0.04624202197832573
9135.0,12431.5,3296.5,36.086480569239185,739.5,75,69,34.5,12,0.35,1.5,0.04873258685920214
9135.0,12431.5,3296.5,36.086480569239185,739.5,75,69,34.5,12,0.4,1.5,0.04873258685920214
9135.0,12431.5,3296.5,36.086480569239185,739.5,75,69,34.5,12,0.38,1.5,0.04873258685920214
8707.5,11844.0,3136.5,36.020671834625325,766.0,51,69,34.5,8,0.5,1.5,0.04696306627721685
8707.5,11844.0,3136.5,36.020671834625325,766.0,51,69,34.5,8,0.4,1.5,0.04696306627721685
8707.5,11844.0,3136.5,36.020671834625325,766.0,51,69,34.5,8,0.42,1.5,0.04696306627721685
