period,date,top_n,zodiacs,actual,is_hit,cost,profit,cumulative_profit,consecutive_misses,reason
102,2025/8/12,5,"['虎', '猪', '牛', '马', '羊']",猪,True,20,26,-404,0,连续1期不中，增加到TOP5
103,2025/8/13,4,"['虎', '牛', '马', '龙']",蛇,False,16,-16,-420,1,正常投注TOP4
104,2025/8/14,5,"['虎', '牛', '马', '龙', '羊']",虎,True,20,26,-394,0,连续1期不中，增加到TOP5
105,2025/8/15,4,"['牛', '马', '龙', '兔']",狗,False,16,-16,-410,1,正常投注TOP4
106,2025/8/16,5,"['牛', '马', '龙', '兔', '羊']",猪,False,20,-20,-430,2,连续1期不中，增加到TOP5
107,2025/8/17,6,"['牛', '龙', '马', '兔', '羊', '猴']",虎,False,24,-24,-454,3,连续2期不中，增加到TOP6
108,2025/8/18,7,"['牛', '马', '龙', '兔', '羊', '狗', '鼠']",兔,True,28,18,-436,0,连续3期不中，增加到TOP7
109,2025/8/19,4,"['牛', '马', '龙', '猪']",龙,True,16,30,-406,0,正常投注TOP4
110,2025/8/20,4,"['牛', '马', '猴', '虎']",兔,False,16,-16,-422,1,正常投注TOP4
111,2025/8/21,5,"['牛', '马', '猴', '羊', '兔']",龙,False,20,-20,-442,2,连续1期不中，增加到TOP5
112,2025/8/22,6,"['牛', '马', '猴', '虎', '兔', '狗']",鼠,False,24,-24,-466,3,连续2期不中，增加到TOP6
113,2025/8/23,7,"['牛', '马', '猴', '虎', '鼠', '兔', '龙']",蛇,False,28,-28,-494,4,连续3期不中，增加到TOP7
114,2025/8/24,8,"['牛', '马', '猴', '虎', '兔', '蛇', '鼠', '龙']",蛇,True,32,14,-480,0,连续4期不中，增加到TOP8
115,2025/8/25,4,"['牛', '马', '猴', '虎']",鼠,False,16,-16,-496,1,正常投注TOP4
116,2025/8/26,5,"['牛', '马', '猴', '虎', '兔']",兔,True,20,26,-470,0,连续1期不中，增加到TOP5
