period,actual,predicted,hit,paused,multiplier,bet_amount,reward,profit,cumulative_profit,consecutive_losses,pause_remaining,risk_mode,triggered_pause
59,47,"[10, 4, 6, 3, 1, 44, 41, 47, 43, 48, 2, 5, 11, 33, 45]",True,False,1,15,47,32,790,0,0,conservative,False
60,41,"[10, 4, 6, 3, 9, 44, 41, 43, 1, 38, 2, 33, 5, 11, 29]",True,False,1,15,47,32,822,0,0,conservative,False
61,45,"[10, 4, 6, 3, 9, 44, 43, 1, 2, 38, 5, 33, 16, 29, 45]",True,False,1,15,47,32,854,0,0,conservative,False
62,41,"[10, 4, 6, 3, 9, 44, 1, 43, 2, 5, 16, 7, 38, 29, 8]",False,False,1,15,0,-15,839,1,0,conservative,False
63,24,"[10, 4, 6, 3, 9, 44, 43, 1, 2, 5, 16, 11, 7, 38, 29]",False,False,1,15,0,-15,824,2,0,conservative,False
64,3,"[4, 10, 6, 9, 44, 3, 43, 1, 2, 16, 5, 11, 38, 29, 7]",True,False,2,30,94,64,888,0,0,conservative,False
65,34,"[4, 10, 9, 1, 6, 44, 43, 2, 16, 47, 5, 11, 38, 29, 7]",False,False,1,15,0,-15,873,1,0,conservative,False
66,14,"[4, 10, 9, 1, 6, 44, 43, 2, 16, 38, 47, 5, 11, 29, 7]",False,False,1,15,0,-15,858,2,0,conservative,False
67,42,"[10, 9, 4, 1, 6, 44, 45, 43, 16, 2, 11, 29, 5, 47, 31]",False,False,2,30,0,-30,828,3,0,conservative,False
68,19,"[10, 9, 4, 6, 1, 41, 44, 45, 16, 29, 2, 11, 5, 31, 7]",False,False,3,45,0,-45,783,4,0,conservative,False
69,44,"[10, 9, 41, 4, 1, 6, 45, 44, 16, 2, 11, 31, 5, 7, 8]",True,False,5,75,235,160,943,0,0,conservative,False
70,2,"[10, 3, 6, 4, 9, 45, 41, 16, 1, 2, 11, 31, 5, 35, 7]",True,False,1,15,47,32,975,0,0,conservative,False
71,47,"[10, 3, 6, 4, 9, 45, 41, 1, 11, 31, 5, 7, 16, 8, 47]",True,False,1,15,47,32,1007,0,0,conservative,False
72,18,"[3, 4, 6, 10, 9, 45, 41, 1, 5, 31, 14, 7, 16, 8, 24]",False,False,1,15,0,-15,992,1,0,conservative,False
73,5,"[3, 4, 6, 10, 9, 45, 41, 42, 1, 14, 5, 7, 16, 8, 44]",True,False,1,15,47,32,1024,0,0,conservative,False
74,22,"[3, 4, 6, 9, 45, 42, 41, 14, 1, 7, 10, 8, 16, 24, 44]",False,False,1,15,0,-15,1009,1,0,conservative,False
75,44,"[3, 4, 9, 44, 42, 45, 41, 14, 6, 1, 10, 7, 16, 24, 8]",True,False,1,15,47,32,1041,0,0,conservative,False
76,23,"[3, 2, 4, 9, 45, 41, 42, 14, 1, 6, 16, 10, 7, 24, 8]",False,False,1,15,0,-15,1026,1,0,conservative,False
77,49,"[3, 2, 9, 45, 41, 42, 47, 14, 4, 1, 16, 6, 24, 7, 28]",False,False,1,15,0,-15,1011,2,0,conservative,False
78,40,"[3, 2, 41, 9, 45, 42, 47, 14, 4, 1, 16, 6, 24, 27, 28]",False,False,2,30,0,-30,981,3,0,conservative,False
79,5,"[3, 2, 5, 41, 42, 6, 45, 47, 4, 14, 16, 1, 9, 27, 28]",True,False,3,45,141,96,1077,0,0,conservative,False
80,22,"[2, 1, 41, 3, 42, 47, 45, 14, 4, 16, 9, 6, 7, 27, 8]",False,False,1,15,0,-15,1062,1,0,conservative,False
81,15,"[2, 4, 1, 41, 3, 42, 44, 47, 45, 14, 9, 27, 28, 6, 24]",False,False,1,15,0,-15,1047,2,0,conservative,False
82,48,"[2, 1, 3, 41, 4, 42, 44, 45, 47, 9, 27, 6, 14, 24, 7]",False,False,2,30,0,-30,1017,3,0,conservative,False
83,42,"[2, 41, 3, 1, 42, 4, 45, 47, 44, 9, 14, 24, 6, 7, 23]",True,False,3,45,141,96,1113,0,0,conservative,False
84,17,"[2, 3, 1, 41, 9, 4, 47, 44, 45, 5, 24, 14, 40, 6, 34]",False,False,1,15,0,-15,1098,1,0,conservative,False
85,20,"[5, 2, 3, 1, 41, 4, 44, 45, 47, 24, 14, 40, 6, 34, 7]",False,False,1,15,0,-15,1083,2,0,conservative,False
86,39,"[5, 3, 1, 2, 41, 4, 44, 45, 47, 24, 14, 18, 22, 40, 6]",False,False,2,30,0,-30,1053,3,0,conservative,False
87,6,"[5, 3, 1, 2, 41, 4, 44, 47, 14, 24, 40, 15, 22, 34, 6]",True,False,3,45,141,96,1149,0,0,conservative,False
88,16,"[5, 3, 2, 1, 4, 44, 41, 47, 14, 24, 22, 40, 15, 34, 7]",False,False,1,15,0,-15,1134,1,0,conservative,False
89,37,"[5, 22, 15, 19, 18, 23, 34, 3, 14, 42, 2, 24, 44, 21, 41]",False,False,1,15,0,-15,1119,2,0,conservative,False
90,14,"[5, 22, 15, 17, 18, 23, 34, 14, 19, 42, 2, 44, 24, 21, 41]",True,False,2,30,94,64,1183,0,0,conservative,False
91,38,"[5, 15, 22, 17, 19, 18, 23, 2, 42, 44, 20, 21, 24, 1, 25]",False,False,1,15,0,-15,1168,1,0,conservative,False
92,23,"[5, 15, 22, 17, 19, 18, 23, 2, 42, 44, 20, 24, 21, np.int64(6), 1]",True,False,1,15,47,32,1200,0,0,conservative,False
93,4,"[5, 15, 22, 19, 17, 18, 2, 44, 24, 20, 21, 42, np.int64(6), 34, 25]",False,False,1,15,0,-15,1185,1,0,conservative,False
94,24,"[5, 15, 22, 17, 16, 18, 2, 3, 44, 20, 21, 42, 24, np.int64(6), 34]",True,False,1,15,47,32,1217,0,0,conservative,False
95,18,"[22, 15, 5, 17, 16, 18, 6, 2, 20, 44, 21, 42, 25, 34, 1]",True,False,1,15,47,32,1249,0,0,conservative,False
96,6,"[15, 5, 22, 17, 16, 14, 6, 44, 20, 21, 42, 25, 26, 1, 2]",True,False,1,15,47,32,1281,0,0,conservative,False
97,45,"[5, 22, 16, 17, 15, 1, 14, 20, 44, 21, 42, 25, 26, np.int64(23), 27]",False,False,1,15,0,-15,1266,1,0,conservative,False
98,28,"[5, 23, 22, 15, 16, 17, 1, 44, 14, 20, 21, 25, 19, np.int64(4), 26]",False,False,1,15,0,-15,1251,2,0,conservative,False
99,23,"[23, 22, 5, 15, 16, 17, 4, 44, 14, 20, 21, 25, 40, 1, 19]",True,False,2,30,94,64,1315,0,0,conservative,False
100,47,"[5, 15, 22, 16, 17, 2, 4, 24, 14, 20, 21, 25, 40, 44, 26]",False,False,1,15,0,-15,1300,1,0,conservative,False
101,9,"[5, 22, 15, 16, 18, 4, 1, 24, 14, 17, 20, 21, np.int64(6), 25, 40]",False,False,1,15,0,-15,1285,2,0,conservative,False
102,15,"[6, 5, 4, 1, 2, 42, 49, 40, 48, 22, 14, 3, 7, 18, 8]",False,False,2,30,0,-30,1255,3,0,conservative,False
103,4,"[6, 5, 4, 1, 2, 42, 40, 48, 14, 16, 22, 3, 7, 44, 45]",True,False,3,45,141,96,1351,0,0,conservative,False
104,19,"[6, 5, 1, 2, 3, 42, 48, 14, 22, 7, 16, 45, 44, 8, 24]",False,False,1,15,0,-15,1336,1,0,conservative,False
105,37,"[6, 1, 2, 3, 42, 5, 48, 14, 22, 23, 16, 45, 7, 24, 44]",False,False,1,15,0,-15,1321,2,0,conservative,False
106,3,"[6, 1, 2, 3, 42, 5, 48, 23, 45, 14, 16, 7, 47, 24, 8]",True,False,2,30,94,64,1385,0,0,conservative,False
107,17,"[6, 9, 1, 2, 42, 5, 48, 23, 45, 14, 16, 7, 24, 39, 8]",False,False,1,15,0,-15,1370,1,0,conservative,False
108,36,"[6, 23, 15, 18, 16, 24, 9, 20, 28, 14, np.int64(4), 22, 21, 25, 39]",False,False,1,15,0,-15,1355,2,0,conservative,False
109,26,"[6, 4, 23, 16, 15, 18, 24, 5, 20, 28, 14, 22, 21, 39, np.int64(17)]",False,False,2,30,0,-30,1325,3,0,conservative,False
110,26,"[6, 4, 15, 23, 16, 18, 9, 24, 20, 28, 22, 14, 19, 21, 39]",False,False,3,45,0,-45,1280,4,0,conservative,False
111,6,"[6, 4, 23, 16, 15, 18, 24, 9, 37, 28, 14, 19, 21, 39, np.int64(3)]",True,False,5,75,235,160,1440,0,0,conservative,False
112,46,"[4, 23, 16, 15, 18, 3, 24, 9, 37, 14, 28, 19, 21, 38, 22]",False,False,1,15,0,-15,1425,1,0,conservative,False
113,44,"[4, 23, 16, 17, 15, 3, 24, 9, 37, 14, 28, 18, 19, 21, 38]",False,False,1,15,0,-15,1410,2,0,conservative,False
114,17,"[4, 23, 17, 15, 3, 9, 24, 37, 28, 14, 16, 18, 19, 21, 38]",True,False,2,30,94,64,1474,0,0,conservative,False
115,9,"[4, 23, 15, 18, 24, 3, 9, 28, 14, 16, 19, 21, 37, 38, 22]",True,False,1,15,47,32,1506,0,0,conservative,False
116,8,"[4, 3, 1, 2, 5, 45, 47, 6, 23, 15, 24, 7, 8, 10, 26]",True,False,1,15,47,32,1538,0,0,conservative,False
117,48,"[4, 6, 3, 1, 2, 45, 47, 23, 15, 5, 24, 7, 26, 10, 9]",False,False,1,15,0,-15,1523,1,0,conservative,False
118,26,"[4, 6, 3, 1, 2, 45, 47, 24, 5, 46, 23, 7, 15, 26, 10]",True,False,1,15,47,32,1555,0,0,conservative,False
119,6,"[6, 3, 4, 1, 2, 45, 47, 24, 44, 5, 23, 28, 15, 46, 7]",True,False,1,15,47,32,1587,0,0,conservative,False
120,4,"[3, 4, 1, 2, 5, 45, 47, 9, 17, 44, 23, 28, 46, 7, 14]",True,False,1,15,47,32,1619,0,0,conservative,False
121,38,"[9, 3, 1, 2, 5, 45, 47, 44, 17, 23, 28, 46, 7, 15, 10]",False,False,1,15,0,-15,1604,1,0,conservative,False
122,27,"[9, 8, 1, 3, 2, 45, 47, 17, 44, 23, 5, 28, 15, 46, 7]",False,False,1,15,0,-15,1589,2,0,conservative,False
123,24,"[9, 8, 3, 1, 2, 17, 47, 44, 23, 15, 28, 46, 5, 7, 45]",False,False,2,30,0,-30,1559,3,0,conservative,False
124,3,"[9, 8, 3, 1, 2, 17, 47, 44, 15, 23, 46, 5, 6, 7, 26]",True,False,3,45,141,96,1655,0,0,conservative,False
125,13,"[9, 6, 8, 1, 2, 4, 47, 17, 44, 26, 46, 15, 5, 45, 7]",False,False,1,15,0,-15,1640,1,0,conservative,False
126,16,"[4, 9, 6, 8, 1, 17, 26, 44, 15, 46, 2, 5, 45, 37, 48]",False,False,1,15,0,-15,1625,2,0,conservative,False
127,22,"[4, 6, 17, 26, 9, 15, 19, 23, 28, 11, 21, np.int64(8), 37, 22, 1]",True,False,2,30,94,64,1689,0,0,conservative,False
128,49,"[4, 17, 6, 26, 9, 19, 15, 27, 23, 28, 11, np.int64(8), 21, 37, 36]",False,False,1,15,0,-15,1674,1,0,conservative,False
129,4,"[17, 6, 4, 26, 9, 19, np.int64(3), 15, 24, 23, 27, 11, np.int64(8), 36, 37]",True,False,1,15,47,32,1706,0,0,conservative,False
130,44,"[3, 6, 17, 26, 9, 24, 15, 27, 19, 11, 21, np.int64(8), 36, 37, 23]",False,False,1,15,0,-15,1691,1,0,conservative,False
131,1,"[3, 6, 17, 26, 9, 24, 15, 27, 13, 19, np.int64(8), 21, 36, 23, 1]",True,False,1,15,47,32,1723,0,0,conservative,False
132,30,"[6, 3, 2, 8, 9, 46, 17, 26, 48, 13, 5, 7, 36, 10, 24]",False,False,1,15,0,-15,1708,1,0,conservative,False
133,8,"[6, 3, 2, 8, 9, 46, 26, 48, 13, 5, 17, 7, 36, 10, 24]",True,False,1,15,47,32,1740,0,0,conservative,False
