================================================================================
 生肖TOP4投注策略回测 - 集成优化系统（带自动恢复止损）
================================================================================
回测期数: 200 期
基础投注: 16元/期
命中奖励: 45元
止损规则: 连续失败 3 期暂停
恢复规则: 预测命中 OR 连续暂停 8 期后自动恢复
================================================================================

第 93期 2025/10/24 | 预测: 蛇,马,狗,猪              | 实际: 狗  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:   +153元 | ROI: +13.28%
第 94期 2025/10/25 | 预测: 蛇,马,猪,兔              | 实际: 羊  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +137元 | ROI: +11.73%
第 95期 2025/10/26 | 预测: 蛇,马,兔,猪              | 实际: 蛇  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +166元 | ROI: +14.02%
第 96期 2025/10/27 | 预测: 猪,兔,马,猴              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +150元 | ROI: +12.50%
第 97期 2025/10/28 | 预测: 兔,猪,马,龙              | 实际: 牛  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   +134元 | ROI: +11.02%
第 98期 2025/10/29 | 预测: 猪,兔,蛇,马              | 实际: 猴  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:   +102元 | ROI:  +8.17%
第 99期 2025/10/30 | 预测: 马,猪,兔,蛇              | 实际: 兔  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:   +102元 | ROI:  +8.17%
第100期 2025/10/31 | 预测: 马,猪,蛇,龙              | 实际: 马  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +131元 | ROI: +10.36%
第101期 2025/11/1 | 预测: 猪,蛇,龙,狗              | 实际: 鼠  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +115元 | ROI:  +8.98%
第102期 2025/11/2 | 预测: 猪,蛇,鸡,龙              | 实际: 牛  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:    +99元 | ROI:  +7.64%
