期数,实际号码,命中,连续失败,Fib档位,倍数,达到限制,投注额,奖金,本期盈亏,累计余额,最大回撤
246,45,✗,2,2,1,,15,0,-15,416,1071
247,43,✗,3,3,2,,30,0,-30,386,1071
248,13,✓,0,0,3,,45,141,96,482,1071
249,41,✗,1,1,1,,15,0,-15,467,1071
250,21,✗,2,2,1,,15,0,-15,452,1071
251,28,✗,3,3,2,,30,0,-30,422,1071
252,27,✗,4,4,3,,45,0,-45,377,1071
253,11,✓,0,0,5,,75,235,160,537,1071
254,11,✗,1,1,1,,15,0,-15,522,1071
255,1,✓,0,0,1,,15,47,32,554,1071
256,26,✓,0,0,1,,15,47,32,586,1071
257,31,✗,1,1,1,,15,0,-15,571,1071
258,6,✗,2,2,1,,15,0,-15,556,1071
259,32,✗,3,3,2,,30,0,-30,526,1071
260,39,✗,4,4,3,,45,0,-45,481,1071
261,46,✗,5,5,5,,75,0,-75,406,1071
262,12,✓,0,0,8,,120,376,256,662,1071
263,42,✗,1,1,1,,15,0,-15,647,1071
264,18,✗,2,2,1,,15,0,-15,632,1071
265,47,✗,3,3,2,,30,0,-30,602,1071
266,28,✓,0,0,3,,45,141,96,698,1071
267,37,✗,1,1,1,,15,0,-15,683,1071
268,19,✗,2,2,1,,15,0,-15,668,1071
269,45,✗,3,3,2,,30,0,-30,638,1071
270,3,✗,4,4,3,,45,0,-45,593,1071
271,1,✓,0,0,5,,75,235,160,753,1071
272,41,✓,0,0,1,,15,47,32,785,1071
273,26,✗,1,1,1,,15,0,-15,770,1071
274,6,✓,0,0,1,,15,47,32,802,1071
275,41,✗,1,1,1,,15,0,-15,787,1071
276,19,✗,2,2,1,,15,0,-15,772,1071
277,27,✓,0,0,2,,30,94,64,836,1071
278,1,✓,0,0,1,,15,47,32,868,1071
279,43,✗,1,1,1,,15,0,-15,853,1071
280,42,✓,0,0,1,,15,47,32,885,1071
281,11,✓,0,0,1,,15,47,32,917,1071
282,28,✓,0,0,1,,15,47,32,949,1071
283,36,✗,1,1,1,,15,0,-15,934,1071
284,16,✗,2,2,1,,15,0,-15,919,1071
285,13,✗,3,3,2,,30,0,-30,889,1071
286,19,✓,0,0,3,,45,141,96,985,1071
287,1,✓,0,0,1,,15,47,32,1017,1071
288,3,✓,0,0,1,,15,47,32,1049,1071
289,39,✓,0,0,1,,15,47,32,1081,1071
290,24,✗,1,1,1,,15,0,-15,1066,1071
291,13,✓,0,0,1,,15,47,32,1098,1071
292,23,✗,1,1,1,,15,0,-15,1083,1071
293,1,✓,0,0,1,,15,47,32,1115,1071
294,38,✗,1,1,1,,15,0,-15,1100,1071
295,15,✗,2,2,1,,15,0,-15,1085,1071
296,48,✗,3,3,2,,30,0,-30,1055,1071
297,14,✗,4,4,3,,45,0,-45,1010,1071
298,48,✗,5,5,5,,75,0,-75,935,1071
299,23,✓,0,0,8,,120,376,256,1191,1071
300,31,✗,1,1,1,,15,0,-15,1176,1071
