lookback,good_thresh,bad_thresh,boost_mult,reduce_mult,hits,hit_rate,total_bet,total_win,balance,roi,max_drawdown,hit_10x_count,roi_improve,drawdown_reduce,score
8,0.3,0.25,1.5,0.6,99,33.0,10479.0,12628.900000000001,2149.8999999999996,20.516270636511113,300.0,2,5.416270636511113,475.0,97.15966454429491
8,0.35,0.25,1.5,0.6,99,33.0,10479.0,12628.900000000001,2149.8999999999996,20.516270636511113,300.0,2,5.416270636511113,475.0,97.15966454429491
10,0.4,0.2,1.3,0.6,99,33.0,10476.0,12666.500000000011,2190.499999999999,20.909698358151957,325.20000000000005,6,5.809698358151957,449.79999999999995,96.5135332413396
10,0.4,0.25,1.3,0.6,99,33.0,10476.0,12666.500000000011,2190.499999999999,20.909698358151957,325.20000000000005,6,5.809698358151957,449.79999999999995,96.5135332413396
10,0.35,0.2,1.3,0.6,99,33.0,10476.0,12666.500000000011,2190.499999999999,20.909698358151957,325.20000000000005,6,5.809698358151957,449.79999999999995,96.5135332413396
10,0.35,0.25,1.3,0.6,99,33.0,10476.0,12666.500000000011,2190.499999999999,20.909698358151957,325.20000000000005,6,5.809698358151957,449.79999999999995,96.5135332413396
8,0.3,0.2,1.1,0.6,99,33.0,10161.0,12252.90000000001,2091.9000000000005,20.587540596398,324.5,3,5.487540596398,450.5,94.47036071103142
8,0.35,0.15,1.1,0.6,99,33.0,10161.0,12252.90000000001,2091.9000000000005,20.587540596398,324.5,3,5.487540596398,450.5,94.47036071103142
8,0.3,0.15,1.1,0.6,99,33.0,10161.0,12252.90000000001,2091.9000000000005,20.587540596398,324.5,3,5.487540596398,450.5,94.47036071103142
8,0.35,0.2,1.1,0.6,99,33.0,10161.0,12252.90000000001,2091.9000000000005,20.587540596398,324.5,3,5.487540596398,450.5,94.47036071103142
12,0.4,0.25,1.2,0.6,99,33.0,9849.0,11909.799999999996,2060.8000000000006,20.923951670220333,343.8,4,5.8239516702203336,431.2,94.2079260364944
12,0.35,0.25,1.2,0.6,99,33.0,9849.0,11909.799999999996,2060.8000000000006,20.923951670220333,343.8,4,5.8239516702203336,431.2,94.2079260364944
15,0.4,0.2,1.5,0.6,99,33.0,11331.0,13630.0,2299.0,20.289471361750948,313.5,9,5.1894713617509485,461.5,93.91574710836989
15,0.4,0.25,1.5,0.6,99,33.0,11331.0,13630.0,2299.0,20.289471361750948,313.5,9,5.1894713617509485,461.5,93.91574710836989
15,0.35,0.25,1.5,0.6,99,33.0,11331.0,13630.0,2299.0,20.289471361750948,313.5,9,5.1894713617509485,461.5,93.91574710836989
15,0.35,0.2,1.5,0.6,99,33.0,11331.0,13630.0,2299.0,20.289471361750948,313.5,9,5.1894713617509485,461.5,93.91574710836989
8,0.4,0.2,1.2,0.6,99,33.0,10077.0,12182.399999999992,2105.4000000000005,20.893122953259905,355.80000000000007,3,5.793122953259905,419.19999999999993,92.45537525124055
8,0.4,0.15,1.2,0.6,99,33.0,10077.0,12182.399999999992,2105.4000000000005,20.893122953259905,355.80000000000007,3,5.793122953259905,419.19999999999993,92.45537525124055
8,0.45,0.15,1.2,0.6,99,33.0,10077.0,12182.399999999992,2105.4000000000005,20.893122953259905,355.80000000000007,3,5.793122953259905,419.19999999999993,92.45537525124055
8,0.45,0.2,1.2,0.6,99,33.0,10077.0,12182.399999999992,2105.4000000000005,20.893122953259905,355.80000000000007,3,5.793122953259905,419.19999999999993,92.45537525124055
10,0.3,0.25,1.2,0.6,99,33.0,10710.0,12868.599999999991,2158.600000000001,20.154995331465926,326.2,3,5.054995331465927,448.8,91.38646769396362
10,0.3,0.2,1.2,0.6,99,33.0,10710.0,12868.599999999991,2158.600000000001,20.154995331465926,326.2,3,5.054995331465927,448.8,91.38646769396362
12,0.45,0.25,1.2,0.6,99,33.0,9579.0,11486.799999999996,1907.8000000000006,19.916483975362777,319.2,4,4.816483975362777,455.8,90.71014809575863
12,0.3,0.25,1.5,0.7,99,33.0,11947.5,14447.8,2500.3,20.927390667503666,374.0,9,5.827390667503666,401.0,90.33392665939193
10,0.45,0.15,1.5,0.6,99,33.0,11106.0,13301.0,2195.0,19.76409148208176,319.5,8,4.66409148208176,455.5,89.66221660853121
10,0.3,0.15,1.5,0.6,99,33.0,13048.5,15792.0,2743.5,21.025405218990688,392.5,13,5.925405218990688,382.5,88.59593287517868
15,0.45,0.15,1.5,0.6,99,33.0,11397.0,13630.0,2233.0,19.59287531806616,321.0,14,4.49287531806616,454.0,88.33478634053641
10,0.4,0.15,1.5,0.6,99,33.0,11856.0,14405.5,2549.5,21.503879892037787,419.5,11,6.4038798920377875,355.5,88.28076835145725
10,0.35,0.15,1.5,0.6,99,33.0,11856.0,14405.5,2549.5,21.503879892037787,419.5,11,6.4038798920377875,355.5,88.28076835145725
10,0.45,0.2,1.3,0.6,99,33.0,9990.0,11928.600000000006,1938.5999999999988,19.405405405405393,320.0,3,4.305405405405393,455.0,87.22229599819849
10,0.45,0.25,1.3,0.6,99,33.0,9990.0,11928.600000000006,1938.5999999999988,19.405405405405393,320.0,3,4.305405405405393,455.0,87.22229599819849
8,0.35,0.2,1.3,0.7,99,33.0,11305.5,13597.100000000013,2291.599999999999,20.269780195480067,375.0,5,5.169780195480067,400.0,85.84985816276054
8,0.3,0.15,1.3,0.7,99,33.0,11305.5,13597.100000000013,2291.599999999999,20.269780195480067,375.0,5,5.169780195480067,400.0,85.84985816276054
8,0.3,0.2,1.3,0.7,99,33.0,11305.5,13597.100000000013,2291.599999999999,20.269780195480067,375.0,5,5.169780195480067,400.0,85.84985816276054
8,0.35,0.15,1.3,0.7,99,33.0,11305.5,13597.100000000013,2291.599999999999,20.269780195480067,375.0,5,5.169780195480067,400.0,85.84985816276054
10,0.4,0.2,1.2,0.6,99,33.0,10209.0,12238.799999999992,2029.8000000000006,19.88245665589187,356.0,3,4.782456655891869,419.0,85.73641451242212
