period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance
73,"['猪', '虎', '龙', '兔']","[3, 6, 7, 8, 15, 18, 19, 20, 27, 30, 31, 32, 39, 42, 43, 44]",16,13,False,0,1,1.0,16.0,-16.0,1276.0,1276.0
74,"['猪', '鼠', '虎', '龙']","[3, 4, 6, 8, 15, 16, 18, 20, 27, 28, 30, 32, 39, 40, 42, 44]",16,41,False,0,2,2.0,32.0,-32.0,1244.0,1244.0
75,"['鼠', '猪', '虎', '龙']","[3, 4, 6, 8, 15, 16, 18, 20, 27, 28, 30, 32, 39, 40, 42, 44]",16,21,False,0,3,4.0,64.0,-64.0,1180.0,1180.0
76,"['鼠', '猪', '虎', '龙']","[3, 4, 6, 8, 15, 16, 18, 20, 27, 28, 30, 32, 39, 40, 42, 44]",16,28,True,1,0,6.0,96.0,186.0,1366.0,1366.0
77,"['虎', '猪', '龙', '羊']","[3, 6, 8, 11, 15, 18, 20, 23, 27, 30, 32, 35, 39, 42, 44, 47]",16,27,True,2,0,1.0,16.0,31.0,1397.0,1397.0
78,"['虎', '龙', '狗', '羊']","[2, 6, 8, 11, 14, 18, 20, 23, 26, 30, 32, 35, 38, 42, 44, 47]",16,11,True,3,0,1.0,16.0,31.0,1428.0,1428.0
79,"['虎', '龙', '狗', '兔']","[2, 6, 7, 8, 14, 18, 19, 20, 26, 30, 31, 32, 38, 42, 43, 44]",16,11,False,0,1,1.0,16.0,-16.0,1412.0,1412.0
80,"['虎', '龙', '狗', '马']","[2, 6, 8, 10, 14, 18, 20, 22, 26, 30, 32, 34, 38, 42, 44, 46]",16,1,False,0,2,2.0,32.0,-32.0,1380.0,1380.0
81,"['虎', '龙', '狗', '马']","[2, 6, 8, 10, 14, 18, 20, 22, 26, 30, 32, 34, 38, 42, 44, 46]",16,26,True,1,0,4.0,64.0,124.0,1504.0,1504.0
82,"['虎', '龙', '马', '兔']","[6, 7, 8, 10, 18, 19, 20, 22, 30, 31, 32, 34, 42, 43, 44, 46]",16,31,True,2,0,1.0,16.0,31.0,1535.0,1535.0
83,"['虎', '龙', '马', '猴']","[6, 8, 10, 12, 18, 20, 22, 24, 30, 32, 34, 36, 42, 44, 46, 48]",16,6,True,3,0,1.0,16.0,31.0,1566.0,1566.0
84,"['龙', '马', '鼠', '猴']","[4, 8, 10, 12, 16, 20, 22, 24, 28, 32, 34, 36, 40, 44, 46, 48]",16,32,True,4,0,1.0,16.0,31.0,1597.0,1597.0
85,"['马', '鼠', '牛', '猴']","[4, 5, 10, 12, 16, 17, 22, 24, 28, 29, 34, 36, 40, 41, 46, 48]",16,39,False,0,1,1.0,16.0,-16.0,1581.0,1581.0
86,"['马', '鼠', '牛', '猴']","[4, 5, 10, 12, 16, 17, 22, 24, 28, 29, 34, 36, 40, 41, 46, 48]",16,46,True,1,0,2.0,32.0,62.0,1643.0,1643.0
87,"['猴', '鼠', '虎', '蛇']","[4, 6, 9, 12, 16, 18, 21, 24, 28, 30, 33, 36, 40, 42, 45, 48]",16,12,True,2,0,1.0,16.0,31.0,1674.0,1674.0
88,"['鼠', '虎', '蛇', '龙']","[4, 6, 8, 9, 16, 18, 20, 21, 28, 30, 32, 33, 40, 42, 44, 45]",16,42,True,3,0,1.0,16.0,31.0,1705.0,1705.0
89,"['鼠', '蛇', '龙', '牛']","[4, 5, 8, 9, 16, 17, 20, 21, 28, 29, 32, 33, 40, 41, 44, 45]",16,18,False,0,1,1.0,16.0,-16.0,1689.0,1689.0
90,"['鼠', '蛇', '鸡', '龙']","[1, 4, 8, 9, 13, 16, 20, 21, 25, 28, 32, 33, 37, 40, 44, 45, 49]",17,47,False,0,2,2.0,34.0,-34.0,1655.0,1655.0
91,"['鼠', '鸡', '兔', '蛇']","[1, 4, 7, 9, 13, 16, 19, 21, 25, 28, 31, 33, 37, 40, 43, 45, 49]",17,28,True,1,0,4.0,68.0,120.0,1775.0,1775.0
92,"['鸡', '兔', '狗', '蛇']","[1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49]",17,37,True,2,0,1.0,17.0,30.0,1805.0,1805.0
93,"['兔', '牛', '狗', '蛇']","[2, 5, 7, 9, 14, 17, 19, 21, 26, 29, 31, 33, 38, 41, 43, 45]",16,19,True,3,0,1.0,16.0,31.0,1836.0,1836.0
94,"['牛', '狗', '龙', '蛇']","[2, 5, 8, 9, 14, 17, 20, 21, 26, 29, 32, 33, 38, 41, 44, 45]",16,45,True,4,0,1.0,16.0,31.0,1867.0,1867.0
95,"['牛', '龙', '狗', '猴']","[2, 5, 8, 12, 14, 17, 20, 24, 26, 29, 32, 36, 38, 41, 44, 48]",16,3,False,0,1,1.0,16.0,-16.0,1851.0,1851.0
96,"['牛', '龙', '狗', '猴']","[2, 5, 8, 12, 14, 17, 20, 24, 26, 29, 32, 36, 38, 41, 44, 48]",16,1,False,0,2,2.0,32.0,-32.0,1819.0,1819.0
97,"['牛', '龙', '狗', '马']","[2, 5, 8, 10, 14, 17, 20, 22, 26, 29, 32, 34, 38, 41, 44, 46]",16,41,True,1,0,4.0,64.0,124.0,1943.0,1943.0
98,"['狗', '猴', '龙', '马']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,26,True,2,0,1.0,16.0,31.0,1974.0,1974.0
99,"['猴', '马', '龙', '鼠']","[4, 8, 10, 12, 16, 20, 22, 24, 28, 32, 34, 36, 40, 44, 46, 48]",16,6,False,0,1,1.0,16.0,-16.0,1958.0,1958.0
100,"['马', '猴', '龙', '鼠']","[4, 8, 10, 12, 16, 20, 22, 24, 28, 32, 34, 36, 40, 44, 46, 48]",16,41,False,0,2,2.0,32.0,-32.0,1926.0,1926.0
